                                        Index
   Relevant Central and State Sector schemes for SAGY in the State of Rajasthan

Sl. No                     Sector            Central      State    No. of Schemes

  1      Personal Development                     6          1              7

  2      Human Development                       58         16            74

  3      Social Development                      36          –            36

  4      Economic Development                    87         18           105

  5      Environmental Development               13          –            13

  6      Basic Amenities and Services            23          –            23

  7      Social Security                          9          5            14

  8      Good Governance                         18          –            18

         Unique Schemes                         223         40           263
